graph_id,shape_id,seq_len,hidden_dim,intermediate_dim,selector_name,num_candidates,baseline_candidate_id,baseline_latency_ms,oracle_candidate_id,oracle_latency_ms,selected_candidate_id,selected_latency_ms,speedup_vs_baseline,regret_vs_oracle,decision_time_p50_ms,decision_time_p95_ms,win_over_2pct
g00_011,s0_seq128,128,2048,5120,Baseline,6,baseline_separate_silu,0.13414399325847626,fused_chunk_silu,0.12697599828243256,baseline_separate_silu,0.13414399325847626,1.0,0.05645157410064172,0.00010999792721122503,0.00014000397641211748,0
g00_011,s0_seq128,128,2048,5120,Heuristic,6,baseline_separate_silu,0.13414399325847626,fused_chunk_silu,0.12697599828243256,fused_chunk_silu,0.12697599828243256,1.0564515741006417,0.0,0.004926994733978063,0.005067555321147665,1
g00_011,s0_seq128,128,2048,5120,Oracle,6,baseline_separate_silu,0.13414399325847626,fused_chunk_silu,0.12697599828243256,fused_chunk_silu,0.12697599828243256,1.0564515741006417,0.0,0.0008309943950735033,0.0008910486940294504,1
g00_012,s0_seq128,128,512,1024,Baseline,6,baseline_separate_silu,0.058368001133203506,fused_chunk_silu,0.05222399905323982,baseline_separate_silu,0.058368001133203506,1.0,0.11764710078407004,0.00010999792721122503,0.00013144672266207633,0
g00_012,s0_seq128,128,512,1024,Heuristic,6,baseline_separate_silu,0.058368001133203506,fused_chunk_silu,0.05222399905323982,fused_chunk_silu,0.05222399905323982,1.11764710078407,0.0,0.0049274967750534415,0.005079506809124723,1
g00_012,s0_seq128,128,512,1024,Oracle,6,baseline_separate_silu,0.058368001133203506,fused_chunk_silu,0.05222399905323982,fused_chunk_silu,0.05222399905323982,1.11764710078407,0.0,0.0008309871191158891,0.0008820061339065433,1
g00_013,s0_seq128,128,768,3072,Baseline,6,baseline_separate_silu,0.07577600330114365,fused_chunk_silu,0.06963200122117996,baseline_separate_silu,0.07577600330114365,1.0,0.08823532244101107,0.00010999792721122503,0.00013999015209265053,0
g00_013,s0_seq128,128,768,3072,Heuristic,6,baseline_separate_silu,0.07577600330114365,fused_chunk_silu,0.06963200122117996,fused_chunk_silu,0.06963200122117996,1.088235322441011,0.0,0.004967499990016222,0.005228957888903096,1
g00_013,s0_seq128,128,768,3072,Oracle,6,baseline_separate_silu,0.07577600330114365,fused_chunk_silu,0.06963200122117996,fused_chunk_silu,0.06963200122117996,1.088235322441011,0.0,0.0008310016710311174,0.0009325020073447375,1
g00_014,s0_seq128,128,1024,3072,Baseline,6,baseline_separate_silu,0.08294399827718735,fused_split_inplace_silu,0.07475200295448303,baseline_separate_silu,0.08294399827718735,1.0,0.10958897419367442,0.00011098745744675398,0.00013145981938578186,0
g00_014,s0_seq128,128,1024,3072,Heuristic,6,baseline_separate_silu,0.08294399827718735,fused_split_inplace_silu,0.07475200295448303,fused_chunk_silu,0.07577600330114365,1.0945945241735324,0.013698634233040297,0.0050224989536218345,0.005230494571151212,1
g00_014,s0_seq128,128,1024,3072,Oracle,6,baseline_separate_silu,0.08294399827718735,fused_split_inplace_silu,0.07475200295448303,fused_split_inplace_silu,0.07475200295448303,1.1095889741936744,0.0,0.0008214992703869939,0.0008824557880870998,1
g00_015,s0_seq128,128,1280,3328,Baseline,6,baseline_separate_silu,0.09113600105047226,baseline_separate_silu,0.09113600105047226,baseline_separate_silu,0.09113600105047226,1.0,0.0,0.00010999792721122503,0.00014000397641211748,0
g00_015,s0_seq128,128,1280,3328,Heuristic,6,baseline_separate_silu,0.09113600105047226,baseline_separate_silu,0.09113600105047226,fused_chunk_silu,0.09113600105047226,1.0,0.0,0.0049274967750534415,0.00533399506821297,0
g00_015,s0_seq128,128,1280,3328,Oracle,6,baseline_separate_silu,0.09113600105047226,baseline_separate_silu,0.09113600105047226,baseline_separate_silu,0.09113600105047226,1.0,0.0,0.0008310016710311174,0.0009015100658871233,0
g00_016,s0_seq128,128,1536,3072,Baseline,6,baseline_separate_silu,0.09728000313043594,fused_split_inplace_silu,0.08806400001049042,baseline_separate_silu,0.09728000313043594,1.0,0.1046511982063918,0.00010999792721122503,0.00013145981938578186,0
g00_016,s0_seq128,128,1536,3072,Heuristic,6,baseline_separate_silu,0.09728000313043594,fused_split_inplace_silu,0.08806400001049042,fused_chunk_silu,0.08908800035715103,1.0919540537495895,0.01162791091182136,0.005047491868026555,0.0052870520448777825,1
g00_016,s0_seq128,128,1536,3072,Oracle,6,baseline_separate_silu,0.09728000313043594,fused_split_inplace_silu,0.08806400001049042,fused_split_inplace_silu,0.08806400001049042,1.1046511982063918,0.0,0.0008219940355047584,0.000880988227436319,1
g00_017,s0_seq128,128,2048,4096,Baseline,6,baseline_separate_silu,0.11980800330638885,fused_split_inplace_silu,0.1157120019197464,baseline_separate_silu,0.11980800330638885,1.0,0.03539824148477955,0.0001100124791264534,0.00013000681065022945,0
g00_017,s0_seq128,128,2048,4096,Heuristic,6,baseline_separate_silu,0.11980800330638885,fused_split_inplace_silu,0.1157120019197464,fused_chunk_silu,0.11673600226640701,1.0263157978716038,0.008849560371194887,0.00497749715577811,0.005198502185521647,1
g00_017,s0_seq128,128,2048,4096,Oracle,6,baseline_separate_silu,0.11980800330638885,fused_split_inplace_silu,0.1157120019197464,fused_split_inplace_silu,0.1157120019197464,1.0353982414847795,0.0,0.0008310016710311174,0.0009015107934828848,1
g00_018,s0_seq128,128,512,1280,Baseline,6,baseline_separate_silu,0.06143999844789505,fused_chunk_silu,0.05734400078654289,baseline_separate_silu,0.06143999844789505,1.0,0.07142852966606017,0.00010999792721122503,0.0001314459950663149,0
g00_018,s0_seq128,128,512,1280,Heuristic,6,baseline_separate_silu,0.06143999844789505,fused_chunk_silu,0.05734400078654289,fused_chunk_silu,0.05734400078654289,1.0714285296660602,0.0,0.005002497346140444,0.005308999971020967,1
